DEPTH,RHOB,DT,GR,AI,AI_rel,PHIE
65.54,2052.0999,523.1164,16.3788,3922835.75,-843.8218,0.3737
65.69,2052.0999,523.1089,12.6354,3922892.25,-843.8218,0.3737
65.84,2052.0999,523.1019,12.3369,3922944.75,-843.8218,0.3737
65.99,2052.0999,523.0944,12.0305,3923000.75,-843.8218,0.3737
66.14,2052.0999,523.087,10.2206,3923056.5,-843.8218,0.3737
66.29,2052.0999,523.0795,13.2208,3923113,-843.8218,0.3737
66.44,2052.0999,523.072,15.3195,3923168.5,-843.8218,0.3737
66.59,2052.0999,523.0646,15.6665,3923224,-843.8218,0.3737
66.74,2052.1943,523.0572,15.6794,3923460.5,-843.8218,0.3737
66.89,2052.2002,523.0498,17.0825,3923527.25,-981.4128,0.3736
67.04,2052.2002,523.0427,16.6442,3923581,-1078.6432,0.3736
67.19,2052.2002,523.0352,16.3182,3923636.75,-1087.2329,0.3736
67.34,2052.2002,523.0278,14.4233,3923692.5,-1087.2329,0.3736
67.49,2052.2002,523.0204,8.9387,3923748.25,-1087.2329,0.3736
67.64,2052.2002,523.0129,9.1231,3923803.75,-1087.2329,0.3736
67.79,2052.283,523.0056,11.8257,3924017.5,-1087.2329,0.3736
67.94,2052.3,522.9981,14.3536,3924106,-1087.2329,0.3736
68.09,2052.3,522.9909,17.1969,3924160,-1087.2329,0.3736
68.24,2052.3,522.9836,14.6635,3924215,-1087.2329,0.3736
68.39,2052.3,522.9762,13.8423,3924270.5,-1087.2329,0.3736
68.54,2052.3,522.9687,11.1328,3924326.75,-1087.2329,0.3736
68.69,2052.3,522.9613,9.9982,3924382.5,-1087.2329,0.3735
68.84,2052.3,522.9539,10.7875,3924438,-1087.2329,0.3735
68.99,2052.3704,522.9465,12.1938,3924628,-1087.2329,0.3735
69.14,2052.4001,522.9393,13.4781,3924738.75,-1087.2329,0.3735
69.29,2052.4001,522.9319,16.0927,3924794,-1087.2329,0.3735
69.44,2052.4001,522.9245,17.1957,3924849.75,-1087.2329,0.3735
69.59,2052.4001,522.9171,17.1957,3924905.75,-1087.2329,0.3735
69.74,2052.4001,522.9097,17.1957,3924961.25,-1087.2329,0.3735
69.89,2052.4001,522.9023,16.0943,3925016.5,-1087.2329,0.3735
70.04,2052.459,522.8948,15.3761,3925185,-1087.2329,0.3735
70.19,2052.5,522.8876,14.5067,3925317.75,-1087.2329,0.3735
70.34,2052.5,522.8803,13.3527,3925372.5,-1087.2329,0.3735
70.49,2052.5,522.8729,12.95,3925428.25,-1087.2329,0.3734
70.64,2052.5,522.8654,11.8348,3925484.25,-1118.7897,0.3734
70.79,2052.5,522.858,10.5182,3925540.25,-1176.1062,0.3734
70.94,2052.5,522.8506,10.2206,3925595.75,-1203.8508,0.3734
71.09,2052.5,522.8431,10.2206,3925651.5,-1203.8508,0.3734
71.24,2052.5461,522.8358,10.7802,3925795.25,-1203.8508,0.3734
71.39,2052.5999,522.8284,11.4336,3925952.75,-1203.8508,0.3734
71.54,2052.5999,522.8212,11.8242,3926007,-1203.8508,0.3734
71.69,2052.5999,522.8138,12.3434,3926062.5,-1203.8508,0.3734
71.84,2052.5999,522.8064,12.7049,3926118.5,-1203.8508,0.3734
71.99,2052.5999,522.799,13.3689,3926174.25,-1203.8508,0.3734
72.14,2052.5999,522.7916,13.3349,3926229.75,-1203.8508,0.3734
72.29,2052.5999,522.7842,12.4203,3926284.75,-1203.8508,0.3734
72.44,2052.6333,522.777,11.3325,3926402.75,-1203.8508,0.3733
72.59,2052.7,522.7696,11.8041,3926586.5,-1203.8508,0.3733
72.74,2052.7,522.7621,13.2532,3926642.25,-1203.8508,0.3733
72.89,2052.7,522.7548,13.2532,3926697.75,-1203.8508,0.3733
73.04,2052.7,522.7473,13.0082,3926753.5,-1203.8508,0.3733
73.19,2052.7,522.7399,11.8824,3926809.75,-1203.8508,0.3733
73.34,2052.7,522.7325,10.5238,3926865.25,-1203.8508,0.3733
73.49,2052.7222,522.7251,10.5238,3926963,-1203.8508,0.3733
73.64,2052.8,522.718,10.5238,3927166,-1203.8508,0.3733
73.79,2052.8,522.7105,10.409,3927222,-1203.8508,0.3733
73.94,2052.8,522.7031,9.9173,3927277.5,-1203.8508,0.3733
74.09,2052.8,522.6957,10.0127,3927333.25,-1203.8508,0.3733
74.24,2052.8,522.6882,10.9952,3927388.75,-1203.8508,0.3732
74.39,2052.8,522.6808,14.0118,3927445,-1198.1825,0.3732
74.54,2052.8,522.6734,15.1391,3927500.75,-1151.5127,0.3732
74.69,2052.8093,522.6663,15.736,3927572,-1093.6099,0.3732
74.84,2052.9001,522.6588,16.2859,3927801.5,-1093.6099,0.3732
74.99,2052.9001,522.6514,16.2487,3927857,-1093.6099,0.3732
75.14,2052.9001,522.644,15.6657,3927913,-1093.6099,0.3732
75.29,2052.9001,522.6365,15.3494,3927969,-1093.6099,0.3732
75.44,2052.9001,522.6291,14.4582,3928025,-1093.6099,0.3732
75.59,2052.9001,522.622,13.8598,3928078.25,-1093.6099,0.3732
75.74,2052.9001,522.6144,12.6499,3928135,-1093.6099,0.3732
75.89,2052.998,522.6071,12.0515,3928377.75,-1093.6099,0.3732
76.04,2053,522.5997,10.5764,3928437,-1093.6099,0.3731
76.19,2053,522.5922,13.1835,3928493,-1093.6099,0.3731
76.34,2053,522.5848,16.0886,3928548.75,-1093.6099,0.3731
76.49,2053,522.5774,13.5039,3928604.75,-1093.6099,0.3731
76.64,2053,522.5699,11.3399,3928660.75,-1093.6099,0.3731
76.79,2053,522.5629,10.3249,3928714,-1093.6099,0.3731
76.94,2053,522.5554,9.9569,3928769.75,-1093.6099,0.3731
77.09,2053.0854,522.548,9.6585,3928989,-1093.6099,0.3731
77.24,2053.1001,522.5406,9.36,3929073,-1093.6099,0.3731
77.39,2053.1001,522.5331,9.3107,3929128.75,-1093.6099,0.3731
77.54,2053.1001,522.5257,9.3107,3929185,-1093.6099,0.3731
77.69,2053.1001,522.5184,15.774,3929240.25,-1093.6099,0.3731
77.84,2053.1001,522.5109,20.0788,3929296,-1093.6099,0.373
77.99,2053.1001,522.5037,18.9976,3929350.5,-1093.6099,0.373
78.14,2053.1001,522.4963,17.0599,3929405.75,-1093.6099,0.373
78.29,2053.1726,522.489,15.4893,3929600,-1054.7756,0.373
78.44,2053.2,522.4815,16.1484,3929708.5,-949.9445,0.373
78.59,2053.2,522.4741,18.061,3929764,-913.0111,0.373
78.74,2053.2,522.4667,17.8904,3929820,-913.0111,0.373
78.89,2053.2,522.4595,16.4962,3929874.25,-913.0111,0.373
79.04,2053.2,522.4521,15.0041,3929929,-913.0111,0.373
79.19,2053.2,522.4447,12.9394,3929985.25,-913.0111,0.373
79.34,2053.2612,522.4373,11.2961,3930158.25,-913.0111,0.373
79.49,2053.2998,522.4299,11.3706,3930287.5,-913.0111,0.373
79.64,2053.2998,522.4224,11.3843,3930343.75,-913.0111,0.3729
79.79,2053.2998,522.415,13.7021,3930400,-913.0111,0.3729
79.94,2053.2998,522.4078,16.2574,3930454.5,-913.0111,0.3729
80.09,2053.2998,522.4005,17.642,3930509,-913.0111,0.3729
80.24,2053.2998,522.3931,19.3645,3930565,-913.0111,0.3729
80.39,2053.2998,522.3856,20.6845,3930620.75,-913.0111,0.3729
80.54,2053.3484,522.3782,21.7269,3930769.75,-913.0111,0.3729
80.69,2053.4001,522.3708,22.4936,3930924.5,-913.0111,0.3729
80.84,2053.4001,522.3634,21.6921,3930980.25,-913.0111,0.3729
80.99,2053.4001,522.356,20.399,3931036.25,-913.0111,0.3729
81.14,2053.4001,522.3487,19.8451,3931091,-913.0111,0.3729
81.29,2053.4001,522.3414,18.8269,3931145.5,-913.0111,0.3729
81.44,2053.4001,522.334,15.9801,3931201.5,-913.0111,0.3729
81.59,2053.4375,522.3265,12.9864,3931328.75,-913.0111,0.3728
81.74,2053.5,522.3192,13.5565,3931504.25,-913.0111,0.3728
81.89,2053.5,522.3118,14.1776,3931560,-913.0111,0.3728
82.04,2053.5,522.3043,16.4613,3931616.25,-905.2167,0.3728
82.19,2053.5,522.2969,18.4306,3931671.75,-853.7665,0.3728
82.34,2053.5,522.2898,17.1794,3931725.5,-774.9875,0.3728
82.49,2053.5,522.2823,15.1748,3931781.25,-774.9875,0.3728
82.64,2053.5,522.275,14.0183,3931837,-774.9875,0.3728
82.79,2053.5247,522.2675,14.8383,3931940.25,-774.9875,0.3728
82.94,2053.6001,522.2601,16.0522,3932140.75,-774.9875,0.3728
83.09,2053.6001,522.2527,15.9624,3932196.5,-774.9875,0.3728
83.24,2053.6001,522.2453,14.2909,3932252,-774.9875,0.3728
83.39,2053.6001,522.2382,12.6184,3932306,-774.9875,0.3728
83.54,2053.6001,522.2307,14.3612,3932361.75,-774.9875,0.3727
83.69,2053.6001,522.2233,17.4358,3932418,-774.9875,0.3727
83.84,2053.6135,522.2159,20.3294,3932499.25,-774.9875,0.3727
83.99,2053.7,522.2084,18.3285,3932720.5,-774.9875,0.3727
84.14,2053.7,522.201,13.356,3932776.75,-774.9875,0.3727
84.29,2053.7,522.1936,15.021,3932832.5,-774.9875,0.3727
